GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Jira Plugin,com.github.lucapino.jira.model,JiraIssue,51,94,3,3,17,39,15,21,13,20
Maven Jira Plugin,com.github.lucapino.jira.model,MailSender,41,0,0,0,13,0,7,0,7,0
Maven Jira Plugin,com.github.lucapino.jira.helpers,JiraIssueComparator,0,19,0,0,0,2,0,2,0,2
Maven Jira Plugin,com.github.lucapino.jira.helpers,ProjectJavamailMailSender,312,0,30,0,70,0,18,0,3,0
Maven Jira Plugin,com.github.lucapino.jira.helpers,IssuesDownloader,30,269,8,14,7,62,10,14,2,11
Maven Jira Plugin,com.github.lucapino.jira.helpers,IssuesReportGenerator,317,0,42,0,99,0,38,0,5,0
Maven Jira Plugin,com.github.lucapino.jira.helpers,TemplateEvaluator,67,65,8,4,11,14,6,3,1,2
Maven Jira Plugin,com.github.lucapino.jira.helpers,ProjectJavamailMailSender.new Authenticator() {...},16,0,0,0,2,0,2,0,2,0
Maven Jira Plugin,com.github.lucapino.jira.helpers,JiraClient,10,31,3,1,1,9,2,3,0,3
Maven Jira Plugin,com.github.lucapino.jira.helpers,RemoteVersionComparator,15,0,0,0,3,0,3,0,3,0
Maven Jira Plugin,com.github.lucapino.jira.helpers,IssuesReportHelper,148,0,22,0,32,0,16,0,5,0
Maven Jira Plugin,com.github.lucapino.jira.helpers,AbstractIssuesReportGenerator,233,0,26,0,86,0,31,0,15,0
Maven Jira Plugin,com.github.lucapino.jira,ReleaseNotesMailMojo,461,0,52,0,83,0,30,0,4,0
Maven Jira Plugin,com.github.lucapino.jira,AbstractJiraMavenReport,166,0,16,0,38,0,12,0,4,0
Maven Jira Plugin,com.github.lucapino.jira,CreateNewVersionMojo,131,0,10,0,27,0,8,0,3,0
Maven Jira Plugin,com.github.lucapino.jira,CreateReportMojo,129,0,6,0,29,0,11,0,8,0
Maven Jira Plugin,com.github.lucapino.jira,GenerateReleaseNotesMojo,46,323,19,19,10,80,17,11,1,8
Maven Jira Plugin,com.github.lucapino.jira,ReleaseVersionMojo,167,0,18,0,29,0,13,0,4,0
Maven Jira Plugin,com.github.lucapino.jira,VersionHolder,15,0,0,0,6,0,3,0,3,0
Maven Jira Plugin,com.github.lucapino.jira,AbstractJiraMojo,122,94,19,7,30,30,19,8,6,8
Maven Jira Plugin,com.github.lucapino.jira,TransitionIssuesMojo,182,0,18,0,43,0,15,0,6,0
